ID,LIMIT_BAL$,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1$,BILL_AMT2$,BILL_AMT3$,BILL_AMT4$,BILL_AMT5$,BILL_AMT6$,PAY_AMT1$,PAY_AMT2$,PAY_AMT3$,PAY_AMT4$,PAY_AMT5$,PAY_AMT6$,def_pay
19,11520,2,1,1,49,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
20,5760,2,1,2,29,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
21,4160,2,3,2,39,0,0,0,0,0,-1,1227.456,886.016,783.648,659.712,377.664,29.76,96,49.184,32,64,29.76,1080.448,0
22,3840,2,2,1,39,-1,-1,-1,-1,-1,-1,10.112,10.112,10.112,0,20.224,10.112,10.112,10.112,0,20.224,10.112,0,1
23,2240,2,2,2,26,2,0,0,2,2,2,1314.784,1358.24,1440.64,1408.192,1500.96,1472.384,64.224,114.624,0,115.232,0,58.24,1
24,14400,2,1,1,40,-2,-2,-2,-2,-2,-2,176.384,621.44,47.136,17.92,0,0,621.696,47.136,17.92,0,0,36.096,1
25,2880,1,1,2,23,0,0,0,-1,0,0,151.808,226.24,0,172.736,203.52,265.344,184.224,0,172.736,38.4,65.44,64,0
26,1600,1,3,2,23,0,0,0,0,0,0,1523.84,1337.92,1152.736,926.944,954.528,961.472,63.136,45.632,32.032,45.824,33.984,31.904,0
28,1600,2,3,2,30,0,0,0,0,0,0,721.312,516.416,549.216,572.096,605.792,627.744,41.6,41.6,32,48,32,32.384,0
29,1600,2,3,1,47,-1,-1,-1,-1,-1,-1,20.8,109.28,109.312,65.28,973.76,8.224,109.28,109.472,65.408,973.76,8.224,0,0
30,1600,1,1,2,26,0,0,0,0,0,0,490.528,530.4,559.872,573.024,588,364.8,48,48,32,32,51.2,0,0
31,7360,2,1,2,27,-1,-1,-1,-1,-1,-1,532.672,552.48,424.512,490.848,457.824,1181.536,552.64,424.992,490.848,457.824,1193.344,0,0
32,1600,1,2,2,33,2,0,0,0,0,0,976.576,947.776,707.264,727.488,742.944,757.76,54.976,48,32,32,32,22.912,1
33,3200,1,1,2,32,0,0,0,0,0,0,2977.152,2690.272,2652.16,2590.656,2518.496,2418.848,96.736,112.352,105.664,102.528,102.4,80.128,0
34,16000,2,2,1,54,-2,-2,-2,-2,-2,-2,349.728,132.864,727.104,240.672,2286.048,287.392,132.864,730.464,240.672,2286.048,31.392,1650.624,0
35,16000,1,1,1,58,-2,-2,-2,-2,-2,-2,438.688,160.192,996.16,101.76,0,169.376,160.192,997.696,101.76,0,169.376,24.576,0
36,5120,1,1,2,30,-1,-1,-2,-2,-2,-1,968.48,-4.192,-16.864,-29.536,-47.616,-60.288,4.192,12.672,12.672,18.08,25.344,0,0
37,8960,1,2,1,40,0,0,0,0,0,0,5968.096,5802.496,5773.504,5453.12,5564.832,5677.216,256.832,257.92,201.6,204.8,204.8,215.584,0
38,1920,2,2,2,22,0,0,0,0,0,-1,481.728,313.792,354.176,192.832,-906.72,597.12,48,48.576,65.376,0,1525.472,19.744,0
39,1600,1,1,2,25,1,-1,-1,-2,-2,-2,0,24.96,0,0,0,0,24.96,0,0,0,0,0,1
40,8960,1,1,2,31,-1,-1,2,-1,0,-1,15.936,290.4,148.512,319.232,575.232,303.264,290.4,0,319.232,256,304.8,24.992,0
41,11520,1,1,2,33,0,0,0,0,0,0,6997.376,7081.472,6620.64,20118.368,6271.008,5735.168,320,224,192,6042.88,896,128,0
42,2240,2,1,2,25,0,0,0,0,0,0,2160.672,2143.968,2046.368,2038.368,2070.976,2111.04,96,144,129.344,80,89.6,80,0
43,320,1,2,2,22,0,0,0,0,0,0,60.064,101.888,192.096,114.432,117.44,142.432,48,93.664,32,9.6,32,16,0
44,4480,2,2,1,37,0,0,0,0,0,0,1904.128,1969.408,2013.6,2056.96,2146.528,2233.664,96,96,96,128,128,96,0
45,1280,2,1,2,30,0,0,0,2,0,0,605.664,681.44,829.472,806.688,852.352,934.304,96,160,0,64,96,0,0
47,640,2,1,2,22,0,0,2,-1,0,0,448.896,527.488,505.6,522.912,533.6,0,96,0,535.712,10.688,0,0,1
49,12160,1,2,2,32,-1,-1,-1,-1,-1,-1,716.832,689.28,484.288,1024.576,379.168,379.936,689.28,484.416,789.664,379.232,380,264.032,0
50,640,1,1,2,24,0,0,0,0,0,0,558.304,591.328,623.232,635.68,655.36,642.016,42.176,42.08,22.528,29.696,29.184,34.208,0
51,2240,1,3,2,42,1,2,2,2,2,0,1185.344,1157.472,1227.36,1261.536,1237.088,1259.584,0,99.2,64,0,48,48,1
53,9920,2,2,1,49,-2,-2,-2,-2,-2,-2,430.88,251.744,243.2,357.92,113.408,14.848,252,243.2,357.92,113.408,14.848,0,0
54,5760,2,1,2,25,1,2,0,0,0,0,1324.864,1335.744,1368.256,1392.32,1421.44,1450.208,41.6,64.32,56.384,56.384,57.28,51.904,0
55,4800,2,1,2,29,2,0,0,0,0,0,1479.168,1119.776,1005.888,848.576,673.344,529.28,51.2,54.976,33.568,48,64,160,0
56,16000,2,1,1,45,-2,-2,-2,-2,-2,-2,60.96,116.48,5.184,0,4.832,80.96,116.48,5.184,0,4.832,80.96,0,0
57,5760,2,3,1,34,0,0,0,-1,-1,-1,524.352,505.376,270.112,228.544,-21.728,266.272,272,48,240,21.728,288,64,0
58,5760,2,2,1,34,0,0,0,0,0,0,5628.352,5550.08,5513.856,5395.456,4230.464,4157.376,258.656,233.472,168.096,154.048,154.112,121.6,0
59,6400,2,1,2,34,-1,3,2,2,2,2,50.784,35.136,25.024,37.312,22.4,45.248,0,0,22.4,0,38.4,0,0
60,12800,2,2,1,29,0,0,0,0,0,0,12804.288,12763.424,12934.56,11526.368,11412.992,11650.848,544,480.928,960,384,384,736,0
61,16000,2,3,1,28,0,0,0,0,0,0,731.136,756.416,604.096,477.984,442.464,498.272,48.512,41.6,32,32,64,64,1
62,2240,1,2,1,39,0,0,0,0,0,-1,2265.6,2305.92,2238.016,528.576,451.072,26.56,128.8,67.04,32,64,96,0,0
63,1600,1,1,2,29,2,2,2,2,2,2,799.584,777.6,850.912,827.68,885.344,904.448,0,86.4,0,71.2,38.4,0,1
64,1600,2,2,1,46,0,0,0,-2,-2,-2,918.976,933.312,0,0,0,0,32,0,0,0,0,0,1
65,4160,2,2,1,51,-1,-1,-2,-2,-1,-1,3.168,0,0,0,75.296,0,0,0,0,75.296,0,0,0
66,6400,1,1,1,57,-2,-2,-2,-1,2,2,4880.608,4760.032,4610.432,261.568,262.336,253.376,0,0,263.104,9.6,0,32,1
67,320,1,2,1,56,2,2,2,0,0,0,67.104,134.176,127.296,129.984,134.272,138.432,73.6,0,4.8,6.4,6.4,5.12,1
68,6720,2,1,2,30,2,-1,-1,-1,-1,-1,9.6,9.6,37.088,72.96,9.6,136,9.6,37.088,72.96,9.6,136,29.088,0
69,4160,2,3,2,29,1,-2,-2,-1,2,-1,-6.08,-315.2,-315.2,329.952,325.152,234.208,0,0,645.152,0,234.208,444.768,0
71,2560,1,1,2,31,-1,-1,-1,-1,-1,-1,24.96,0,12.48,12.48,12.48,12.48,0,12.48,12.48,12.48,12.48,12.48,0
72,10240,1,2,2,29,2,2,2,2,2,2,1864.544,1895.872,1925.888,1875.904,1993.824,2032.832,80,80,0,153.6,76.8,51.2,1
73,6400,2,2,1,32,-1,-1,-1,-1,2,-1,290.432,185.184,-21.888,167.904,123.136,100.832,186.176,0.48,291.264,0.544,101.28,44.64,0
74,9280,2,1,2,37,1,-2,-1,-1,-1,-1,0,0,100.96,0,75.488,0,0,100.96,0,75.488,0,0,0
75,10880,1,1,2,32,-1,-1,-1,-1,-1,-1,97.536,177.6,746.784,137.312,2564.896,826.24,182.816,750.496,138.048,2577.664,830.368,64.512,0
76,640,1,2,2,24,0,0,2,0,0,0,467.808,550.912,532.544,543.232,554.624,593.376,91.2,0,19.52,20.16,48,0,0
77,1600,1,3,2,25,-1,0,0,0,0,0,1370.816,1191.2,1154.784,308.352,306.88,320.96,56.288,56.928,10.24,16,32,32,0
78,9600,2,1,1,45,-1,-1,-1,-1,-1,-1,9.312,9.312,9.312,9.312,9.312,9.312,9.312,9.312,9.312,9.312,9.312,9.312,0
79,960,2,2,2,22,0,0,0,0,0,0,908.384,947.584,970.432,896.128,846.272,205.152,53.952,44.8,17.92,96,56.48,0,1
82,11520,2,1,2,26,0,0,0,0,0,-1,749.152,889.472,972.8,1059.2,5760,6.272,153.472,108.8,99.2,4700.8,6.272,94.816,0
83,1920,1,3,2,30,0,0,0,0,0,0,842.368,879.072,899.456,703.776,636.768,632.672,50.432,38.816,20.736,24.576,36.48,0,1
84,12800,2,2,1,44,0,0,2,0,0,0,4211.04,4449.92,4058.208,3341.76,3359.68,3009.856,342.4,0.096,97.6,96,102.4,89.6,0
85,1600,2,3,2,49,0,0,0,0,0,0,1565.088,1531.616,687.648,653.248,618.944,623.424,53.632,41.664,22.4,22.368,27.168,26.432,0
86,5120,1,2,2,33,0,0,0,0,0,0,4160.896,3449.856,2301.888,3789.376,3789.024,3853.376,140.8,113.504,2560,144,153.6,144,0
87,11520,2,1,1,45,-1,-1,2,0,-1,-1,12.48,37.44,24.96,12.48,12.48,12.48,37.44,0,0,12.48,12.48,12.48,1
88,5120,2,2,2,32,0,0,0,0,0,-1,122.432,152.032,211.328,275.328,226.304,24.512,36.704,64,64,0,24.512,73.696,0
89,4160,2,1,1,35,0,0,0,-1,-1,-1,2602.016,3771.712,567.68,42.56,227.04,38.08,1280,160,42.56,227.04,38.08,66.88,0
90,640,1,3,2,44,2,2,0,0,0,2,274.656,265.696,308.832,335.616,394.048,383.04,0,52.832,32,64,0,48,0
91,6400,1,1,1,53,2,2,2,2,2,2,4421.76,4504.768,4558.72,4611.136,4707.968,4784.992,201.6,176,176,176,160,160,1
92,8960,2,1,2,39,-1,-1,-1,0,0,-2,240.768,0,126.976,123.776,0,0,0,126.976,0,0,0,0,0
93,3200,2,1,2,27,-2,-2,-2,-2,-2,-2,-64,177.76,0,0,0,0,241.76,0,0,0,0,0,0
94,5120,2,2,1,37,-1,-1,-1,-1,-1,-2,28.16,51.264,26.88,26.88,0,0,51.264,26.88,26.88,0,0,247.552,0
95,1920,2,2,2,23,0,0,0,0,0,0,1460.736,1499.2,1510.848,627.04,614.688,618.336,61.984,41.632,21.824,22.08,26.112,26.72,0
96,2880,1,2,2,35,0,0,0,0,0,0,2679.2,2751.872,2804.896,1138.08,990.144,986.72,115.872,115.104,37.728,35.584,35.328,36.576,0
97,11520,1,1,1,43,-1,-1,-1,-1,-1,0,126.944,266.304,108.608,206.432,843.84,318.592,266.848,108.608,412.864,864,0,2207.296,0
98,4800,1,1,2,27,0,0,0,0,0,0,2752.288,2755.456,2848.192,2872.8,2807.2,1305.216,128.992,320.192,104.512,129.28,54.336,25.6,0
99,1600,2,3,1,22,0,0,0,0,0,0,599.104,581.12,543.904,420.8,283.712,252.768,45.152,38.208,12.128,8.992,10.272,6.304,0
100,640,1,2,1,38,0,0,0,0,0,-1,575.136,619.744,625.888,583.68,573.696,4.8,54.368,46.72,20.032,56,4.8,0,1
101,4480,1,1,2,32,-2,-2,-2,-2,-2,-2,21.504,326.784,27.2,13.28,3.2,45.76,326.784,27.2,13.28,3.2,45.76,0,0
102,12160,2,1,2,30,-2,-2,-1,0,0,0,-2.592,-9.696,1039.2,1052.512,1074.048,1089.792,7.136,1061.696,37.472,38.304,40,160,0
104,1600,2,3,2,22,0,0,0,0,0,0,1430.336,1352.128,1227.104,1039.872,751.264,771.008,56.544,43.584,32.064,26.88,31.84,28.928,1
105,1920,2,2,2,26,2,2,2,2,2,0,1813.92,1766.656,1893.6,1926.976,1774.304,1769.76,0,160,80.352,0.192,96,96,0
106,2240,2,2,2,24,-1,-1,-2,-2,-2,-1,178.56,0,0,0,0,848.928,0,0,0,0,848.928,64,0
107,2560,2,2,1,36,-1,-1,-1,-1,-1,-1,195.456,91.552,104.864,106.208,36.8,36.8,91.552,104.928,106.208,36.8,36.8,33.12,0
108,11200,1,1,2,52,-1,-1,-1,-1,-1,-1,22.816,72.704,23.104,27.744,36.8,168.416,72.704,23.104,27.744,36.8,168.416,160.352,0
109,4160,1,2,2,38,0,0,0,-1,-1,-1,5486.016,5708.224,1278.08,3855.456,1412.064,4050.176,349.056,0,4277.024,146.112,4282.912,153.472,0
110,11520,1,2,1,35,1,-2,-2,-2,-2,-2,-3.296,-3.296,-3.296,-3.296,-3.296,-3.296,0,0,0,0,0,0,0
111,10560,2,1,1,31,0,0,2,0,0,0,3388.128,3469.792,3379.008,3388.672,3407.712,3433.248,296.32,0,114.976,131.2,505.408,0,0
112,1600,1,3,1,47,0,0,2,0,0,0,423.808,471.104,485.792,509.696,533.472,556.576,64,32,32,32,32,32,0
113,8960,1,2,1,41,2,2,2,2,2,3,4341.536,4433.024,4314.016,4620.832,4869.568,4781.28,208,0,456.128,475.2,0,160,0
114,3200,2,1,2,24,0,0,0,0,0,0,1668.096,1686.144,1743.264,1794.432,1923.2,1910.816,64,85.664,98.432,162.56,96,65.056,0
115,1600,1,2,2,41,0,0,0,0,0,0,608.48,617.408,648.288,648.768,649.952,638.624,42.88,41.76,22.4,22.976,23.168,21.888,0
116,960,1,1,2,24,-1,2,0,0,3,2,582.368,563.776,596.192,682.208,662.144,678.432,0,41.984,96,0,32,32,1
117,7680,1,1,2,28,-1,-1,-1,-1,-1,-1,10.432,10.432,10.432,181.632,15.232,10.432,10.432,10.432,181.632,15.232,10.432,16.832,0
118,2560,1,2,2,26,2,0,0,0,0,0,448.928,495.776,532.16,545.76,564.128,581.952,64,54.4,32,32,32,32,1
119,12800,1,2,1,34,-1,-1,-1,-1,-1,-1,629.12,309.312,379.744,250.848,474.784,254.688,309.664,379.744,250.848,474.784,254.688,182.784,0
120,7680,2,2,2,38,0,0,0,0,-1,-1,1608.128,1646.24,1696.48,1679.328,41.824,38.496,64,96,96,41.824,38.496,18.016,0
121,1600,1,3,2,37,2,2,2,3,2,2,1472.128,1471.232,1566.496,1563.232,1578.176,1636.576,32,129.12,32,44.8,89.6,0,1
123,3520,2,1,1,48,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
124,9920,2,2,1,35,2,0,0,0,0,0,9759.712,9959.776,9802.048,8275.52,7887.712,6364.448,416.608,356.096,269.024,275.168,218.656,191.584,1
125,640,1,1,2,27,0,0,0,0,0,0,611.68,606.784,617.536,620.096,630.944,500.16,44.928,36.16,19.2,27.552,10.016,0,0
126,640,1,2,2,23,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
127,6400,1,3,2,52,0,0,0,0,0,0,3524.832,3184.96,3166.432,3229.248,3300.672,3359.776,114.176,114.72,115.264,123.136,117.408,121.088,0
128,5760,1,1,1,36,0,0,0,0,0,0,5239.552,3725.504,3176.896,3064.512,3128.096,3069.664,148.96,86.08,66.144,68.544,70.944,32,1
129,1600,1,2,1,51,0,0,0,0,0,0,107.104,124.768,144.096,171.104,204,226.464,32,34.112,41.6,48,38.4,4.288,1
130,1920,1,3,1,55,3,2,2,0,0,0,1936.672,1966.4,1831.808,923.296,944.32,849.504,80.128,0.224,38.4,38.4,35.2,48,0
131,960,2,1,2,23,1,-2,-2,-2,-1,-1,128,180.64,112.256,-0.864,439.808,188.992,180.64,112.256,0.864,440.672,189.152,96.768,0
132,7680,1,1,2,41,1,-1,-1,0,0,-1,3.04,83.904,105.632,101.248,11.52,55.584,83.904,105.632,0,11.52,55.584,29.568,0
133,13440,1,2,1,34,0,0,0,0,0,0,8110.528,7927.776,7329.568,7070.432,6739.392,6019.456,311.808,305.696,243.296,250.56,232.096,362.432,0
134,10560,1,3,1,46,0,0,0,0,0,0,7276.448,7319.008,7348.608,7282.784,7288.8,7302.496,262.72,259.04,256.8,261.6,268.512,262.4,0
135,960,2,2,2,22,0,0,0,0,0,0,910.464,836.64,854.784,811.2,563.296,-24.96,64,44.8,0,16,0,49.92,0
136,7680,1,2,1,34,0,0,0,2,2,2,341.568,385.12,437.792,424.608,453.056,444.512,48,57.6,0,32,0,10.464,0
137,4800,1,1,2,27,0,0,0,0,0,0,558.208,618.944,704,787.648,870.4,967.328,80,96,96,96,112,160,0
138,6720,2,2,1,33,0,0,0,0,0,0,229.312,255.904,281.344,294.048,140.928,182.656,48,48,32,16,64,17.472,0
139,1600,2,3,1,51,-1,-1,-1,-1,-2,-2,24.064,9.6,188.16,0,0,0,9.6,188.16,0,0,0,0,1
140,1600,1,1,2,24,0,0,0,0,0,0,1625.632,1604.576,1586.752,621.76,620,607.84,75.52,54.4,32,28.8,27.84,68.16,0
142,5760,1,2,2,28,-1,-1,-1,-1,-1,-1,58.624,0,26.624,10.624,13.312,13.312,0,13.312,10.624,16,112,26.624,0
143,1600,1,2,2,23,1,2,2,2,0,0,324.192,346.656,658.656,639.872,636.128,578.08,32,320,12.8,22.4,25.6,19.2,0
144,5440,1,2,2,29,-2,-2,-2,-2,-2,-2,389.088,320,320,320,319.456,507.072,320,320,320,319.456,507.616,320,0
145,640,1,1,2,29,-1,-1,-1,-1,0,-1,38.368,498.752,11.008,74.88,214.464,10.848,498.752,11.008,74.88,150.464,10.848,10.56,0
146,1600,1,1,2,28,0,0,0,0,0,3,159.968,189.216,234.08,294.24,339.968,324.416,32,48,64,50.656,35.2,0,0
147,5440,2,2,2,27,0,0,0,0,0,0,616.608,650.016,667.264,561.92,573.376,291.2,53.152,38.4,11.232,11.456,5.824,0,1
148,6400,1,1,2,34,1,2,0,0,0,0,6311.552,5638.144,2978.208,4341.376,4231.456,1916,256,160,1776,160,160,272,0
149,2560,2,2,1,23,1,2,3,2,0,0,293.376,336.704,326.56,316.736,323.936,385.088,52.8,0,0,12.128,66.912,0.032,0
151,4480,1,2,1,32,0,0,0,0,2,0,2772.064,2500.544,2186.752,2068.736,1866.208,1768.032,110.56,99.52,160,0,67.2,83.264,0
152,2560,1,1,2,25,0,0,0,0,0,0,1358.208,1783.808,1391.232,1314.784,1342.432,1018.432,960,96,192,256,64,448,0
153,11200,1,1,2,41,1,-1,-1,-1,-1,-2,6.656,92.992,32,20.16,0,0,92.992,32,20.16,0,0,0,0
154,8960,2,2,1,56,0,0,0,0,0,0,6680.8,5835.2,4232.224,3257.056,5668.64,5417.952,257.344,214.4,164.384,3200,224,202.272,0
155,960,2,3,2,26,0,0,0,0,0,0,288.448,332.992,365.664,381.92,418.688,454.592,54.4,48,32,48,48,48,0
156,4480,1,1,1,34,0,0,0,0,0,0,766.208,897.568,1026.336,1380.128,1506.752,1558.368,160,160,380.32,160,96,176.128,0
157,6400,2,1,2,37,0,0,0,0,0,0,3373.44,3291.84,2868.576,2910.016,2960.16,3008.992,128,104,104,112,113.92,160,0
158,6400,2,3,2,30,0,0,0,0,0,0,6272.992,6276.576,6064.768,5349.216,4703.2,3914.368,233.6,227.456,245.76,198.4,160,144,0
159,6720,1,3,1,45,2,3,4,4,5,6,3705.12,3932.928,4155.104,4392.864,4657.056,4931.36,335.296,335.296,354.496,354.496,373.696,335.296,1
160,1600,1,3,1,57,3,2,0,0,0,0,411.328,395.584,430.304,429.664,438.752,450.656,0,51.2,16,16,19.2,19.2,0
161,960,1,1,2,41,2,2,2,2,2,0,779.424,878.496,854.976,901.376,882.528,906.272,112,0,70.4,0,38.4,40,0
162,1600,1,2,2,27,2,-1,-1,-1,-1,2,12.48,12.48,24.96,6.912,34.56,17.28,12.48,24.96,6.912,27.648,0,12.48,0
163,9280,1,3,1,47,-1,-1,-1,-1,0,-1,39.488,12.672,12.672,25.344,12.672,13.536,12.672,12.672,25.344,0,13.536,11.808,0
164,8000,2,1,1,34,0,0,2,0,0,0,4519.136,5019.456,4858.912,4889.696,4991.904,5127.04,575.808,0,175.008,180.992,217.952,125.44,0
165,1920,2,2,1,46,0,0,0,0,0,0,676.736,761.696,797.056,833.088,852.96,888.192,96,48,48,32,48,48,0
166,3520,2,1,2,27,0,0,0,0,0,0,3252.48,3353.44,3355.36,2391.584,2433.856,2472.128,176,124.8,96,92.8,96,89.6,0
167,11840,1,1,2,50,-2,-2,-2,-2,-2,-2,194.976,484.16,262.528,492.736,153.344,430.496,492.256,262.528,493.216,153.344,430.496,150.368,0
168,3200,1,2,1,27,-1,2,2,0,0,0,3275.168,3099.104,1882.368,938.752,735.328,-7.872,101.312,0,42.56,44.736,0.384,1600,0
169,2880,2,2,1,35,0,0,0,0,0,2,2307.584,2363.328,2416.832,2474.144,2747.264,2825.28,112,112,116.864,320,128,0,0
170,1600,2,2,2,22,0,0,0,0,0,0,897.28,930.944,939.712,887.584,906.176,921.792,48.32,46.144,31.424,32.544,40.864,18.144,0
171,8640,1,2,2,37,0,0,0,0,0,0,1206.24,1068.704,977.088,883.136,843.008,788.512,160,64,96,128,96,64,0
172,9600,2,1,2,30,-1,-1,-1,-1,-1,-1,22.016,104.96,0,138.88,85.504,25.6,105.216,0,138.88,85.504,25.6,23.872,0
173,1600,2,2,2,22,-1,0,0,0,0,0,274.144,488.736,372.8,238.624,99.68,247.2,480,32,4.768,0,160,320,0
175,11520,1,1,2,29,1,-2,-1,-1,-2,-2,0,0,2.464,0,0,0,0,2.464,0,0,0,0,0
176,4160,1,3,1,56,1,2,2,2,2,3,2067.744,2111.296,2153.024,2193.824,2329.472,2283.04,96,96,96,176,0,0,1
177,2560,1,1,2,30,-2,-1,0,0,0,0,197.984,3.2,19.2,46.016,61.408,172.16,16.128,16,32,16,112,0,0
178,1600,1,2,2,30,1,2,0,0,0,2,1563.52,1529.632,1547.616,967.072,732.064,715.552,0,48,32,64,0,64,0
179,640,2,2,2,22,0,0,0,0,0,0,512.032,403.904,423.072,420.16,449.088,476.992,38.784,38.432,16,48,48,32,0
180,2560,2,2,1,29,0,0,2,0,0,0,2492.256,2617.952,2568,1966.944,341.184,367.552,185.6,32,19.2,12.8,32,0,0
181,7680,1,1,2,37,-1,-1,2,0,0,-1,390.784,850.496,810.592,851.36,840.928,40.192,480,0,64,0,40.192,2109.92,0
182,2560,2,3,2,35,0,-1,0,0,0,0,1587.456,397.184,475.936,555.648,568.64,558.72,400,208,96,64,96,64,0
183,16000,2,1,1,47,0,0,0,0,0,0,1805.504,3539.712,3530.88,3934.944,3482.688,2242.048,2240.32,971.424,960,640,1669.856,640,0
184,1920,2,2,1,24,0,0,0,0,0,0,1856.768,1852.512,1562.848,607.072,618.336,620.64,80,51.2,96,32,23.584,64,1
185,640,1,2,2,25,0,0,0,0,0,-1,340.544,373.664,418.24,392.96,51.68,51.84,38.4,50.976,19.232,4.32,58.368,0,0
186,3200,2,2,1,38,1,2,0,0,2,0,463.456,446.752,490.336,520.576,507.776,526.336,0,51.2,48,0,32,48,1
187,11520,2,1,2,32,1,-1,-1,-1,-1,-1,83.712,1826.464,169.184,2190.24,444.192,519.68,1826.784,169.44,2190.528,444.448,520,1226.016,0
188,6400,2,3,2,47,2,2,2,2,2,2,6381.952,6494.304,6205.952,6277.952,6405.184,6077.28,262.848,224,217.6,228.288,0,218.752,1
189,4160,2,2,1,34,1,-1,0,0,0,0,0,172.672,328.64,434.432,443.648,468.352,172.672,160,112,16.032,32,64,0
190,640,2,2,2,31,1,5,4,4,3,2,694.496,674.784,686.752,666.72,647.008,655.584,0,32,0,0,24.32,0,0
191,9920,1,1,2,32,0,0,0,0,0,0,1916.832,1988.704,1987.264,2108,1932.384,1386.496,320.64,192.992,321.824,160.896,161.92,135.136,0
192,1920,2,1,2,27,2,0,0,0,2,0,628,651.104,693.408,736.16,719.968,731.936,42.944,53.248,64,0,28.8,27.072,1
193,5760,2,1,2,29,-1,-1,-1,-2,-1,0,364.352,6.368,0,0,551.264,545.344,6.368,0,0,551.264,10.912,163.648,0
194,5760,2,1,2,24,-1,-1,2,0,0,-2,469.44,706.784,681.024,326.4,0,0,1211.744,0,6.4,0,0,0,0
195,1600,1,2,1,36,0,0,0,0,-1,-1,1529.28,579.648,584,-0.448,2.304,21.056,64,32,64,16,32,640.352,0
196,1600,2,1,2,24,1,2,2,2,2,2,1157.312,1190.016,1205.76,1230.784,1255.296,1281.12,60.8,44.8,54.4,49.024,51.2,0,1
197,4800,2,2,1,34,-2,-2,-2,-2,-2,-2,0,0,0,3.712,0,48,0,0,3.712,0,48,0,0
198,640,2,1,2,22,0,0,0,0,-1,0,593.696,622.272,610.08,266.624,603.776,615.904,48,33.024,17.312,640,22.176,32,0
199,16000,2,1,1,34,-2,-2,-2,-1,-1,-1,13.184,4.416,73.568,40.032,38.592,36.832,4.416,73.568,40.032,38.592,36.832,506.112,0
200,960,2,3,2,22,1,2,2,0,0,0,928.32,936.192,899.904,954.752,52.16,0,32,2.72,54.848,3.328,0,0,1
201,5760,2,1,1,38,-2,-2,-2,-2,-2,-2,24,0,0,0,0,0,0,0,0,0,0,0,0
